"customer_id","current_age","gender","numeric_yearly_income","numeric_total_debt","credit_score","dti_ratio","generational_segment","credit_score_bucket"
825,53,Female,59696.00,127613.00,787,2565.26,Gen X,Low Risk (>740)
1746,53,Female,77254.00,191349.00,701,2972.26,Gen X,Medium Risk (600-740)
1718,81,Female,33483.00,196.00,698,7.02,Boomers+,Medium Risk (600-740)
708,63,Female,249925.00,202328.00,722,971.47,Boomers+,Medium Risk (600-740)
1164,43,Male,109687.00,183855.00,675,2011.41,Millennials,Medium Risk (600-740)
68,42,Male,41997.00,0.00,704,0.00,Millennials,Medium Risk (600-740)
1075,36,Female,51500.00,102286.00,672,2383.36,Millennials,Medium Risk (600-740)
1711,26,Male,54623.00,114711.00,728,2520.06,Gen Z,Medium Risk (600-740)
1116,81,Female,42509.00,2895.00,755,81.72,Boomers+,Low Risk (>740)
1752,34,Female,38190.00,81262.00,810,2553.40,Millennials,Low Risk (>740)
192,27,Male,56164.00,15224.00,761,325.28,Gen Z,Low Risk (>740)
640,29,Female,45727.00,94016.00,629,2467.23,Gen Z,Medium Risk (600-740)
1679,18,Female,69149.00,89214.00,776,1548.20,Gen Z,Low Risk (>740)
1094,34,Male,41442.00,78833.00,712,2282.70,Millennials,Medium Risk (600-740)
1590,48,Female,20513.00,32509.00,599,1901.76,Gen X,High Risk (<600)
1660,41,Female,23123.00,5079.00,723,263.58,Millennials,Medium Risk (600-740)
1747,54,Male,36497.00,38333.00,719,1260.37,Gen X,Medium Risk (600-740)
153,76,Female,27484.00,16803.00,660,733.65,Boomers+,Medium Risk (600-740)
429,22,Male,53995.00,89056.00,683,1979.21,Gen Z,Medium Risk (600-740)
511,66,Male,35602.00,55369.00,661,1866.27,Boomers+,Medium Risk (600-740)
309,28,Male,25122.00,43205.00,819,2063.77,Gen Z,Low Risk (>740)
777,18,Male,216740.00,0.00,700,0.00,Gen Z,Medium Risk (600-740)
1946,76,Male,41109.00,21486.00,698,627.19,Boomers+,Medium Risk (600-740)
1674,70,Male,26858.00,11245.00,712,502.42,Boomers+,Medium Risk (600-740)
482,45,Male,34929.00,63849.00,714,2193.56,Millennials,Medium Risk (600-740)
877,36,Female,34317.00,61826.00,610,2161.94,Millennials,Medium Risk (600-740)
128,40,Female,31377.00,59615.00,722,2279.95,Millennials,Medium Risk (600-740)
775,37,Male,43638.00,104052.00,627,2861.32,Millennials,Medium Risk (600-740)
1536,41,Male,32531.00,38260.00,766,1411.33,Millennials,Low Risk (>740)
140,37,Female,42120.00,72801.00,739,2074.10,Millennials,Medium Risk (600-740)
1884,18,Male,57281.00,89114.00,850,1866.88,Gen Z,Low Risk (>740)
1874,49,Male,38390.00,87923.00,783,2748.31,Gen X,Low Risk (>740)
1310,33,Female,35670.00,58182.00,751,1957.34,Millennials,Low Risk (>740)
1689,21,Female,61746.00,154817.00,637,3008.78,Gen Z,Medium Risk (600-740)
379,47,Female,43496.00,114563.00,765,3160.65,Gen X,Low Risk (>740)
34,41,Male,51854.00,72162.00,737,1669.97,Millennials,Medium Risk (600-740)
822,51,Female,34540.00,22641.00,793,786.60,Gen X,Low Risk (>740)
1499,46,Male,41287.00,88151.00,662,2562.09,Gen X,Medium Risk (600-740)
1780,46,Male,38054.00,63293.00,666,1995.89,Gen X,Medium Risk (600-740)
1806,59,Female,80371.00,108499.00,822,1619.97,Gen X,Low Risk (>740)
811,91,Female,84694.00,2149.00,741,30.45,Boomers+,Low Risk (>740)
1844,79,Male,37503.00,14272.00,706,456.67,Boomers+,Medium Risk (600-740)
1852,57,Male,65357.00,21844.00,685,401.07,Gen X,Medium Risk (600-740)
1231,26,Female,22066.00,38967.00,842,2119.12,Gen Z,Low Risk (>740)
970,42,Male,44681.00,42011.00,770,1128.29,Millennials,Low Risk (>740)
381,26,Male,51306.00,68198.00,675,1595.09,Gen Z,Medium Risk (600-740)
1134,18,Female,25847.00,46379.00,568,2153.24,Gen Z,High Risk (<600)
1296,60,Female,46683.00,93126.00,788,2393.83,Gen X,Low Risk (>740)
1880,61,Male,31579.00,52419.00,771,1991.92,Boomers+,Low Risk (>740)
322,47,Male,28055.00,12475.00,829,533.59,Gen X,Low Risk (>740)
461,42,Female,65403.00,80057.00,784,1468.87,Millennials,Low Risk (>740)
1165,55,Female,27572.00,59404.00,797,2585.41,Gen X,Low Risk (>740)
1448,48,Female,38539.00,0.00,850,0.00,Gen X,Low Risk (>740)
1288,41,Female,38059.00,68220.00,634,2150.98,Millennials,Medium Risk (600-740)
1178,59,Female,52754.00,38191.00,693,868.73,Gen X,Medium Risk (600-740)
1391,45,Male,51196.00,67164.00,631,1574.28,Millennials,Medium Risk (600-740)
838,26,Male,49713.00,91776.00,763,2215.34,Gen Z,Low Risk (>740)
54,21,Female,44160.00,134173.00,696,3646.01,Gen Z,Medium Risk (600-740)
1452,46,Female,193773.00,241571.00,660,1496.00,Gen X,Medium Risk (600-740)
1602,41,Female,29864.00,44902.00,717,1804.26,Millennials,Medium Risk (600-740)
1938,22,Male,57367.00,115418.00,795,2414.31,Gen Z,Low Risk (>740)
1492,63,Female,56635.00,13015.00,786,275.77,Boomers+,Low Risk (>740)
688,44,Male,47227.00,151030.00,760,3837.55,Millennials,Low Risk (>740)
749,22,Male,24574.00,80667.00,674,3939.14,Gen Z,Medium Risk (600-740)
643,29,Female,43397.00,42168.00,697,1166.02,Gen Z,Medium Risk (600-740)
1219,28,Female,58105.00,70254.00,688,1450.90,Gen Z,Medium Risk (600-740)
1198,82,Male,10869.00,1820.00,820,200.94,Boomers+,Low Risk (>740)
898,90,Female,19893.00,1712.00,566,103.27,Boomers+,High Risk (<600)
882,63,Male,36743.00,71719.00,612,2342.29,Boomers+,Medium Risk (600-740)
348,49,Female,46377.00,79980.00,719,2069.47,Gen X,Medium Risk (600-740)
633,36,Female,50179.00,110515.00,743,2642.90,Millennials,Low Risk (>740)
1493,30,Male,54537.00,121987.00,765,2684.13,Millennials,Low Risk (>740)
1161,23,Male,49255.00,6557.00,823,159.75,Gen Z,Low Risk (>740)
217,42,Male,31031.00,21853.00,744,845.08,Millennials,Low Risk (>740)
1877,65,Male,70673.00,87605.00,714,1487.50,Boomers+,Medium Risk (600-740)
668,87,Female,16342.00,1758.00,747,129.09,Boomers+,Low Risk (>740)
533,22,Male,30961.00,42597.00,677,1650.99,Gen Z,Medium Risk (600-740)
203,58,Female,30305.00,23392.00,776,926.26,Gen X,Low Risk (>740)
1738,30,Male,68784.00,198417.00,696,3461.57,Millennials,Medium Risk (600-740)
713,25,Female,34745.00,26503.00,691,915.34,Gen Z,Medium Risk (600-740)
1631,18,Female,64715.00,174664.00,740,3238.77,Gen Z,Medium Risk (600-740)
1487,59,Female,80464.00,76261.00,727,1137.32,Gen X,Medium Risk (600-740)
1265,18,Female,49748.00,23161.00,748,558.68,Gen Z,Low Risk (>740)
370,61,Male,41904.00,12545.00,655,359.25,Boomers+,Medium Risk (600-740)
1014,54,Female,196784.00,437533.00,729,2668.10,Gen X,Medium Risk (600-740)
290,27,Female,100837.00,61377.00,687,730.41,Gen Z,Medium Risk (600-740)
985,32,Male,51654.00,95454.00,600,2217.54,Millennials,Medium Risk (600-740)
135,64,Female,38088.00,51679.00,691,1628.20,Boomers+,Medium Risk (600-740)
307,18,Male,36866.00,0.00,680,0.00,Gen Z,Medium Risk (600-740)
1783,52,Male,37607.00,63689.00,749,2032.25,Gen X,Low Risk (>740)
1321,49,Female,34480.00,58795.00,696,2046.23,Gen X,Medium Risk (600-740)
1511,43,Male,48279.00,114254.00,719,2839.84,Millennials,Medium Risk (600-740)
900,36,Male,32896.00,69800.00,735,2546.21,Millennials,Medium Risk (600-740)
953,18,Male,29909.00,42832.00,664,1718.49,Gen Z,Medium Risk (600-740)
233,37,Female,47464.00,83591.00,716,2113.37,Millennials,Medium Risk (600-740)
406,23,Female,85128.00,108678.00,641,1531.97,Gen Z,Medium Risk (600-740)
1069,54,Male,45852.00,114746.00,615,3003.04,Gen X,Medium Risk (600-740)
180,33,Female,26556.00,43042.00,840,1944.96,Millennials,Low Risk (>740)
996,63,Female,40194.00,107765.00,738,3217.35,Boomers+,Medium Risk (600-740)
1866,22,Male,62135.00,75209.00,676,1452.50,Gen Z,Medium Risk (600-740)
