customer_id,numeric_yearly_income,credit_score
91,72647,739
95,88554,701
130,81048,781
188,87436,845
226,92960,724
232,69159,786
279,69572,753
290,100837,687
296,75785,814
306,70380,725
324,87372,792
341,104045,734
342,128123,699
390,92046,681
406,85128,641
440,106159,703
453,128775,655
471,71645,629
481,82972,653
512,72844,718
599,100991,722
604,70840,736
622,87437,738
623,77961,616
626,85954,746
628,107075,815
637,77288,771
662,85694,822
663,70554,655
695,71866,662
696,110570,766
700,186534,590
702,71103,721
704,112695,840
705,79870,609
708,249925,722
714,73383,760
715,100303,821
730,84944,713
739,69171,622
759,74550,687
763,103126,642
768,69412,620
776,97455,616
777,216740,700
787,71740,767
795,75918,759
806,77972,686
809,85596,618
811,84694,741
840,88432,694
842,103185,564
853,75070,723
856,114318,748
870,71593,821
905,96901,701
910,76820,819
931,69270,540
937,94133,603
943,87317,773
944,119308,789
952,126775,685
959,102369,738
989,113514,727
995,101679,592
1003,80526,632
1014,196784,729
1015,96744,838
1028,81122,682
1040,80060,689
1043,97127,660
1079,103294,831
1085,74198,838
1086,76274,698
1102,94733,707
1108,81995,685
1118,83104,714
1121,84365,796
1122,69706,785
1136,68767,723
1142,79272,716
1145,75080,747
1147,104692,704
1156,280199,752
1164,109687,675
1168,109673,505
1201,115465,715
1204,69440,743
1206,87030,727
1214,72470,711
1223,189490,717
1238,96661,721
1259,192269,700
1261,68787,527
1270,73117,685
1304,90812,850
1307,87030,646
1325,307018,745
1328,84987,600
1332,71909,712
1333,71312,741
1335,97845,836
1358,68930,768
1362,72510,727
1375,71590,717
1385,82298,789
1388,72485,691
1395,153691,604
1398,70862,745
1402,96574,590
1411,69007,720
1426,114692,805
1427,100880,770
1432,69747,741
1435,92017,703
1452,193773,660
1482,89152,675
1487,80464,727
1502,90104,787
1506,70502,614
1516,68827,755
1517,123540,764
1524,99883,732
1529,76305,692
1534,80794,803
1543,105963,684
1548,73067,721
1553,86042,701
1587,82019,695
1592,95045,708
1597,71750,697
1600,101193,747
1609,87659,779
1616,94260,815
1617,76867,659
1618,70634,682
1621,74059,744
1622,79271,759
1625,101191,659
1648,185909,621
1661,72478,728
1664,69566,791
1672,74644,792
1679,69149,776
1685,74012,681
1692,162709,542
1693,74016,702
1694,74753,726
1714,73011,794
1734,82637,739
1738,68784,696
1746,77254,701
1750,70711,741
1790,113797,660
1794,75137,631
1799,105515,646
1806,80371,822
1809,73208,664
1811,82009,764
1817,73920,683
1851,75682,727
1857,97248,775
1865,118862,782
1870,71054,767
1877,70673,714
1897,104049,741
1903,71427,709
1919,80493,610
1931,82974,503
1943,95348,706
1957,95945,772
1962,92375,712
1982,69412,699
1983,141161,773
1988,109440,737
1993,92785,786
1994,78180,740
